Best Amenity Scored,lat,lon,amenity,name,distance
162,49.2831516,-123.1154178,fast_food,A&W,698.3618111157248
163,49.2810728,-123.118583,restaurant,Ryuu,473.95529154549115
164,49.2814129,-123.1161159,car_rental,Pacific Car Rentals,650.9972837729252
165,49.2820489,-123.118486,cafe,Starbucks,457.216263000505
166,49.2827779,-123.1116632,cafe,Finch's,988.5543432077923
167,49.2792876,-123.1226649,fast_food,Hungry Guys,378.3434120887349
168,49.2774158,-123.1255337,restaurant,Wings,572.4105849449546
169,49.2821143,-123.1181656,pharmacy,London Drugs,481.4450108378204
170,49.2819996,-123.1177434,bank,Scotiabank,515.5311708432125
171,49.2786045,-123.1184591,restaurant,Per Se Social Corner,628.6590205289427
172,49.2764803,-123.1148881,restaurant,On Yogurt,994.00123018207
173,49.2806424,-123.1312774,fast_food,Fit Camp Foods,582.9365856347579
174,49.2782909,-123.1241919,pub,Donnelan's,466.99510328359344
175,49.2850193,-123.1145937,cafe,Quantum Coffee,809.3578557188631
176,49.2773691,-123.1197879,bank,RBC,669.8406700587938
177,49.282596,-123.1119502,restaurant,Osteria Autostrada,965.6667506247057
178,49.2818319,-123.1234128,restaurant,Boston Pizza,100.83022782213028
179,49.2787028,-123.1302045,cafe,Maple Leaf Delicatessen Coffe Shop,624.8626530234759
180,49.2820073,-123.1229687,restaurant,Hubbub,117.1136378661845
181,49.2807616,-123.1248877,fast_food,Sushi Maki,197.6059867349855
182,49.2904179,-123.1258516,bicycle_rental,Coal Harbour Community Centre,889.851578044515
183,49.2802411,-123.1250614,pub,Relish,257.05452902180764
184,49.2807931,-123.1191954,fast_food,Red Burrito,441.46364660014115
185,49.2801081,-123.1251174,restaurant,Gyu-Kaku,272.456648938931
186,49.2817816,-123.1117459,cafe,Java Cat,984.718029567507
187,49.2800328,-123.1146849,pub,Library Square Public House,799.874951189705
188,49.2777207,-123.1267774,restaurant,Rorimomo,564.5870959057385
189,49.2777827,-123.1268532,cafe,Truffles,560.2007707543472
190,49.2838195,-123.1118877,cafe,Waves Coffee,981.6855182554121
191,49.2833711,-123.1145504,fast_food,Peqish,768.5674361895544
192,49.2845542,-123.1133241,fast_food,Kita no Donburi,888.3506784039662
193,49.2834954,-123.1149019,fast_food,Pizza Vancouver,743.2706437275492
194,49.2847736,-123.1220466,bank,CIBC,309.0640123452125
195,49.2847964,-123.1243067,restaurant,Sushi Yan,256.460513849447
196,49.2838527,-123.1143645,restaurant,Chihuahua's,791.4749918511404
197,49.2846244,-123.1218388,cafe,Starbucks,305.54808394060933
198,49.2858242,-123.126404,pharmacy,London Drugs,405.6058428269505
199,49.2827328,-123.1220614,bicycle_rental,Robson & Hornby,177.0997538538212
200,49.2833178,-123.1191002,cafe,Cafe Bel,416.84915341160723
201,49.2859796,-123.1189243,bank,Banque Nacionale Canada,572.0434904687446
202,49.2860549,-123.1241903,bicycle_rental,Georgia & Thurlow,396.4915821787009
203,49.2847804,-123.1227707,cafe,Thierry,281.3541433887548
204,49.2817211,-123.1165551,cafe,Nosherie,611.5531185570546
205,49.283625,-123.116121,pharmacy,Shoppers Drug Mart,651.8316735357847
206,49.2799326,-123.1302522,restaurant,Banana Leaf,545.3814364086735
207,49.277574,-123.1318508,restaurant,Osaka Sushi,804.5653333295695
